iter	Passed	Remaining
203	789	3081
204	799	3101
205	801	3090
206	803	3077
207	805	3065
208	815	3085
209	816	3073
210	818	3062
211	820	3048
212	821	3035
213	832	3056
214	833	3043
215	835	3032
216	836	3019
217	845	3034
218	848	3024
219	849	3012
220	851	3000
221	852	2987
222	860	2996
223	863	2991
224	864	2979
225	866	2966
226	867	2954
227	875	2964
228	876	2951
229	878	2939
230	879	2927
231	880	2915
232	881	2902
233	887	2903
234	892	2905
235	894	2894
236	895	2883
237	897	2872
238	907	2888
239	909	2880
240	911	2869
241	913	2860
242	925	2881
243	927	2874
244	940	2898
245	942	2888
246	943	2877
247	950	2880
248	956	2883
249	958	2874
250	967	2886
251	969	2877
252	982	2899
253	984	2892
254	986	2882
255	988	2872
256	1000	2891
257	1017	2925
258	1019	2916
259	1021	2907
260	1031	2921
261	1035	2916
262	1050	2942
263	1052	2933
264	1063	2949
265	1065	2939
266	1068	2932
267	1080	2951
268	1083	2943
269	1085	2934
270	1114	2996
271	1117	2991
272	1132	3015
273	1137	3013
274	1151	3035
275	1153	3025
276	1155	3016
277	1169	3036
278	1171	3026
279	1180	3036
280	1183	3027
281	1185	3018
282	1187	3009
283	1220	3075
284	1234	3097
285	1246	3110
286	1249	3103
287	1252	3095
288	1258	3095
289	1269	3108
290	1272	3101
291	1274	3090
292	1287	3107
293	1289	3097
294	1299	3106
295	1302	3096
296	1304	3086
297	1306	3076
298	1321	3098
299	1333	3111
300	1336	3104
301	1349	3119
302	1365	3141
303	1367	3131
304	1369	3121
305	1386	3144
306	1388	3134
307	1390	3124
308	1392	3113
309	1423	3168
310	1425	3157
311	1438	3172
312	1440	3162
313	1442	3151
314	1453	3161
315	1456	3151
316	1458	3141
317	1472	3157
318	1474	3148
319	1477	3140
320	1480	3131
321	1482	3120
322	1509	3164
323	1512	3156
324	1525	3168
325	1528	3159
326	1538	3167
327	1541	3157
328	1543	3147
329	1545	3137
330	1556	3146
331	1558	3136
332	1560	3126
333	1570	3132
334	1573	3122
335	1575	3112
336	1588	3124
337	1591	3117
338	1606	3132
339	1608	3122
340	1615	3121
341	1628	3132
342	1630	3122
343	1632	3113
344	1657	3146
345	1670	3156
346	1674	3150
347	1686	3159
348	1688	3149
349	1690	3139
350	1704	3152
351	1721	3168
352	1736	3182
353	1739	3174
354	1752	3184
355	1754	3174
356	1767	3182
357	1781	3195
358	1783	3185
359	1786	3175
360	1788	3164
361	1794	3162
362	1796	3152
363	1805	3155
364	1807	3144
365	1809	3133
366	1811	3124
367	1817	3121
368	1825	3121
369	1827	3111
370	1840	3120
371	1842	3111
372	1851	3111
373	1856	3107
374	1858	3098
375	1870	3104
376	1874	3098
377	1887	3105
378	1889	3096
379	1891	3086
380	1902	3090
381	1905	3082
382	1907	3072
383	1919	3078
384	1921	3069
385	1930	3071
386	1932	3061
387	1934	3051
388	1936	3041
389	1938	3032
390	1950	3037
391	1952	3027
392	1954	3018
393	1964	3021
394	1966	3012
395	1968	3002
396	1970	2992
397	1982	2998
398	1984	2988
399	1985	2978
400	1997	2983
401	1998	2973
402	2000	2963
403	2013	2970
404	2015	2960
405	2016	2950
406	2027	2954
407	2030	2945
408	2032	2936
409	2041	2938
410	2044	2929
411	2047	2921
412	2059	2926
413	2060	2916
414	2061	2906
415	2063	2896
416	2075	2901
417	2077	2892
418	2079	2882
419	2090	2886
420	2092	2877
421	2093	2867
422	2095	2857
423	2106	2861
424	2107	2851
425	2109	2841
426	2110	2832
427	2118	2831
428	2119	2821
429	2121	2812
430	2122	2802
431	2124	2793
432	2126	2783
433	2135	2784
434	2136	2775
435	2138	2766
436	2140	2757
437	2141	2748
438	2150	2747
439	2151	2738
440	2153	2729
441	2155	2720
442	2156	2711
443	2165	2711
444	2166	2702
445	2168	2693
446	2169	2684
447	2171	2675
448	2178	2673
449	2180	2665
450	2182	2656
451	2183	2647
452	2184	2638
453	2186	2629
454	2191	2624
455	2197	2621
456	2198	2612
457	2200	2603
458	2201	2595
459	2208	2592
460	2210	2584
461	2212	2576
462	2214	2567
463	2215	2559
464	2217	2550
465	2222	2547
466	2227	2542
467	2228	2533
468	2230	2525
469	2231	2516
470	2238	2513
471	2239	2505
472	2241	2497
473	2242	2488
474	2244	2480
475	2245	2472
476	2247	2463
477	2252	2460
478	2257	2455
479	2259	2447
480	2260	2439
481	2261	2430
482	2269	2429
483	2273	2424
484	2275	2416
485	2276	2407
486	2278	2399
487	2286	2399
488	2288	2391
489	2290	2383
490	2291	2375
491	2292	2367
492	2301	2366
493	2302	2358
494	2304	2350
495	2305	2342
496	2306	2334
497	2308	2326
498	2314	2323
499	2318	2318
500	2320	2311
501	2321	2303
502	2323	2295
503	2330	2293
504	2332	2286
505	2333	2278
506	2335	2270
507	2336	2263
508	2338	2255
509	2339	2247
510	2346	2245
511	2348	2238
512	2349	2230
513	2351	2223
514	2352	2215
515	2362	2216
516	2364	2208
517	2365	2201
518	2367	2193
519	2368	2186
520	2374	2183
521	2379	2179
522	2381	2172
523	2383	2164
524	2384	2157
525	2393	2156
526	2394	2149
527	2395	2141
528	2397	2134
529	2398	2127
530	2400	2120
531	2405	2115
532	2406	2108
533	2408	2101
534	2410	2094
535	2417	2093
536	2419	2086
537	2420	2078
538	2422	2071
539	2423	2064
540	2424	2057
541	2426	2050
542	2434	2048
543	2435	2041
544	2437	2034
545	2438	2027
546	2440	2020
547	2441	2013
548	2443	2006
549	2444	2000
550	2445	1993
551	2447	1986
552	2448	1979
553	2450	1972
554	2460	1972
555	2462	1966
556	2464	1959
557	2465	1953
558	2473	1951
559	2475	1944
560	2476	1937
561	2477	1931
562	2479	1924
563	2480	1917
564	2481	1910
565	2490	1909
566	2491	1902
567	2493	1896
568	2496	1890
569	2504	1889
570	2505	1882
571	2507	1875
572	2508	1869
573	2510	1862
574	2511	1856
575	2517	1852
576	2520	1848
577	2522	1841
578	2523	1835
579	2525	1828
580	2526	1821
581	2535	1820
582	2536	1814
583	2538	1807
584	2539	1801
585	2540	1794
586	2541	1788
587	2548	1785
588	2551	1780
589	2552	1773
590	2553	1767
591	2554	1760
592	2556	1754
593	2563	1752
594	2565	1746
595	2567	1740
596	2568	1734
597	2569	1727
598	2571	1721
599	2577	1718
600	2580	1713
601	2582	1707
602	2583	1701
603	2585	1695
604	2593	1693
605	2595	1687
606	2596	1681
607	2598	1675
608	2599	1669
609	2601	1663
610	2608	1660
611	2610	1654
612	2612	1649
613	2613	1643
614	2615	1637
615	2623	1635
616	2625	1629
617	2627	1623
618	2628	1617
619	2630	1612
620	2635	1608
621	2640	1604
622	2642	1599
623	2643	1593
624	2645	1587
625	2652	1584
626	2654	1579
627	2656	1573
628	2658	1567
629	2659	1562
630	2661	1556
631	2668	1553
632	2671	1548
633	2672	1542
634	2674	1537
635	2676	1531
636	2685	1530
637	2686	1524
638	2688	1518
639	2690	1513
640	2691	1507
641	2697	1504
642	2700	1499
643	2702	1493
644	2704	1488
645	2705	1482
646	2706	1476
647	2714	1474
648	2716	1469
649	2717	1463
650	2719	1457
651	2720	1452
652	2722	1446
653	2723	1441
654	2728	1436
655	2729	1431
656	2730	1425
657	2732	1420
658	2739	1417
659	2740	1411
660	2741	1406
661	2743	1400
662	2745	1395
663	2746	1389
664	2747	1384
665	2754	1381
666	2757	1376
667	2759	1371
668	2760	1365
669	2761	1360
670	2763	1354
671	2764	1349
672	2765	1343
673	2767	1338
674	2768	1332
675	2769	1327
676	2770	1322
677	2776	1318
678	2781	1314
679	2782	1309
680	2784	1304
681	2785	1298
682	2786	1293
683	2795	1291
684	2796	1286
685	2798	1280
686	2799	1275
687	2800	1270
688	2802	1264
689	2807	1261
690	2809	1256
691	2810	1251
692	2812	1245
693	2813	1240
694	2821	1238
695	2823	1233
696	2824	1228
697	2826	1222
698	2827	1217
699	2829	1212
700	2839	1210
701	2840	1205
702	2842	1200
703	2844	1195
704	2852	1193
705	2854	1188
706	2856	1183
707	2857	1178
708	2859	1173
709	2865	1170
710	2868	1166
711	2870	1161
712	2872	1156
713	2880	1153
714	2881	1148
715	2883	1143
716	2884	1138
717	2886	1133
718	2887	1128
719	2893	1125
720	2896	1120
721	2898	1115
722	2899	1110
723	2901	1106
724	2909	1103
725	2911	1098
726	2912	1093
727	2914	1088
728	2916	1084
729	2920	1080
730	2926	1076
731	2927	1071
732	2929	1067
733	2931	1062
734	2940	1060
735	2942	1055
736	2943	1050
737	2944	1045
738	2945	1040
739	2947	1035
740	2948	1030
741	2955	1027
742	2957	1022
743	2959	1018
744	2960	1013
745	2961	1008
746	2965	1004
747	2968	999
748	2969	995
749	2971	990
750	2972	985
751	2973	980
752	2974	975
753	2976	970
754	2978	966
755	2981	962
756	2985	958
757	2987	953
758	2988	948
759	2989	944
760	2991	939
761	2995	935
762	2996	930
763	2997	926
764	2999	921
765	3000	916
766	3001	911
767	3002	907
768	3007	903
769	3013	900
770	3014	895
771	3016	890
772	3017	886
773	3019	881
774	3026	878
775	3028	874
776	3029	869
777	3031	865
778	3033	860
779	3034	855
780	3038	852
781	3043	848
782	3045	843
783	3046	839
784	3048	834
785	3061	833
786	3063	829
787	3079	828
788	3092	827
789	3094	822
790	3098	818
791	3110	816
792	3111	812
793	3113	807
794	3125	805
795	3127	801
796	3139	799
797	3143	795
798	3144	791
799	3156	789
800	3157	784
801	3159	779
802	3160	775
803	3166	771
804	3172	768
805	3174	764
806	3175	759
807	3177	754
808	3179	750
809	3180	746
810	3182	741
811	3184	737
812	3185	732
813	3187	728
814	3193	724
815	3194	720
816	3196	715
817	3197	711
818	3205	708
819	3206	703
820	3208	699
821	3209	695
822	3211	690
823	3212	686
824	3214	681
825	3219	678
826	3221	673
827	3224	669
828	3226	665
829	3234	662
830	3236	658
831	3237	653
832	3239	649
833	3240	645
834	3248	641
835	3251	637
836	3252	633
837	3254	629
838	3255	624
839	3263	621
840	3265	617
841	3267	613
842	3270	609
843	3272	604
844	3280	601
845	3281	597
846	3283	593
847	3285	588
848	3293	585
849	3296	581
850	3297	577
851	3299	573
852	3301	568
853	3302	564
854	3310	561
855	3312	557
856	3313	552
857	3317	548
858	3326	546
859	3327	541
860	3329	537
861	3331	533
862	3339	530
863	3342	526
864	3346	522
865	3347	517
866	3355	514
867	3357	510
868	3360	506
869	3361	502
870	3362	498
871	3371	494
872	3373	490
873	3375	486
874	3377	482
875	3378	478
876	3386	474
877	3389	470
878	3391	466
879	3392	462
880	3393	458
881	3400	454
882	3402	450
883	3404	446
884	3406	442
885	3418	439
886	3420	435
887	3422	431
888	3424	427
889	3432	424
890	3434	420
891	3436	416
892	3438	412
893	3446	408
894	3448	404
895	3450	400
896	3452	396
897	3454	392
898	3460	388
899	3465	385
900	3478	382
901	3480	378
902	3482	374
903	3498	371
904	3512	368
905	3513	364
906	3516	360
907	3522	356
908	3526	352
909	3527	348
910	3541	345
911	3543	341
912	3550	338
913	3556	334
914	3572	331
915	3574	327
916	3576	323
917	3588	320
918	3589	316
919	3592	312
920	3594	308
921	3595	304
922	3596	300
923	3597	295
924	3603	292
925	3609	288
926	3611	284
927	3613	280
928	3622	276
929	3624	272
930	3625	268
931	3627	264
932	3628	260
933	3630	256
934	3637	252
935	3639	248
936	3641	244
937	3642	240
938	3644	236
939	3651	233
940	3653	229
941	3654	225
942	3656	221
943	3657	216
944	3659	212
945	3663	209
946	3668	205
947	3670	201
948	3671	197
949	3675	193
950	3677	189
951	3679	185
952	3680	181
953	3682	177
954	3683	173
955	3684	169
956	3689	165
957	3694	161
958	3695	158
959	3697	154
960	3698	150
961	3707	146
962	3709	142
963	3711	138
964	3712	134
965	3714	130
966	3715	126
967	3724	123
968	3726	119
969	3728	115
970	3729	111
971	3743	107
972	3745	103
973	3746	100
974	3760	96
975	3761	92
976	3763	88
977	3768	84
978	3770	80
979	3772	76
980	3774	73
981	3775	69
982	3788	65
983	3791	61
984	3801	57
985	3804	54
986	3806	50
987	3808	46
988	3809	42
989	3821	38
990	3822	34
991	3824	30
992	3833	27
993	3836	23
994	3838	19
995	3840	15
996	3847	11
997	3851	7
998	3853	3
999	3854	0
